id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
72,W 52 St & 11 Ave,32,38,40.76727216,-73.99392888,In Service,1,6,W 52 St & 11 Ave,,,,,,false,,
79,Franklin St & W Broadway,26,33,40.71911552,-74.00666661,In Service,1,6,Franklin St & W Broadway,,,,,,false,,
82,St James Pl & Pearl St,24,27,40.71117416,-74.00016545,In Service,1,2,St James Pl & Pearl St,,,,,,false,,
83,Atlantic Ave & Fort Greene Pl,44,62,40.68382604,-73.97632328,In Service,1,18,Atlantic Ave & Fort Greene Pl,,,,,,false,,
116,W 17 St & 8 Ave,34,39,40.74177603,-74.00149746,In Service,1,5,W 17 St & 8 Ave,,,,,,false,,
119,Park Ave & St Edwards St,10,19,40.69608941,-73.97803415,In Service,1,8,Park Ave & St Edwards St,,,,,,false,,
120,Lexington Ave & Classon Ave,19,19,40.68676793,-73.95928168,In Service,1,0,Lexington Ave & Classon Ave,,,,,,false,,
127,Barrow St & Hudson St,28,31,40.73172428,-74.00674436,In Service,1,3,Barrow St & Hudson St,,,,,,false,,
128,MacDougal St & Prince St,19,30,40.72710258,-74.00297088,In Service,1,6,MacDougal St & Prince St,,,,,,false,,
137,E 56 St & Madison Ave,42,46,40.761628,-73.972924,In Service,1,4,E 56 St & Madison Ave,,,,,,false,,
143,Clinton St & Joralemon St,21,24,40.69239502,-73.99337909,In Service,1,3,Clinton St & Joralemon St,,,,,,false,,
144,Nassau St & Navy St,3,19,40.69839895,-73.98068914,In Service,1,15,Nassau St & Navy St,,,,,,false,,
146,Hudson St & Reade St,35,39,40.71625008,-74.0091059,In Service,1,4,Hudson St & Reade St,,,,,,false,,
147,Greenwich St & Warren St,16,33,40.71542197,-74.01121978,In Service,1,17,Greenwich St & Warren St,,,,,,false,,
150,E 2 St & Avenue C,30,31,40.7208736,-73.98085795,In Service,1,0,E 2 St & Avenue C,,,,,,false,,
151,Cleveland Pl & Spring St,15,33,40.7218158,-73.99720307,In Service,1,14,Cleveland Pl & Spring St,,,,,,false,,
152,Warren St & Church St,21,29,40.71473993,-74.00910627,In Service,1,7,Warren St & Church St,,,,,,false,,
153,E 40 St & 5 Ave,42,55,40.75206231,-73.9816324,In Service,1,7,E 40 St & 5 Ave,,,,,,false,,
157,Henry St & Atlantic Ave,14,23,40.69089272,-73.99612349,In Service,1,8,Henry St & Atlantic Ave,,,,,,false,,
160,E 37 St & Lexington Ave,23,26,40.748238,-73.978311,In Service,1,3,E 37 St & Lexington Ave,,,,,,false,,
161,LaGuardia Pl & W 3 St,5,35,40.72917025,-73.99810231,In Service,1,25,LaGuardia Pl & W 3 St,,,,,,false,,
164,E 47 St & 2 Ave,47,47,40.75323098,-73.97032517,In Service,1,0,E 47 St & 2 Ave,,,,,,false,,
167,E 39 St & 3 Ave,42,45,40.7489006,-73.97604882,In Service,1,1,E 39 St & 3 Ave,,,,,,false,,
168,W 18 St & 6 Ave,27,47,40.73971301,-73.99456405,In Service,1,16,W 18 St & 6 Ave,,,,,,false,,
173,Broadway & W 49 St,49,51,40.76064679,-73.98442659,In Service,1,1,Broadway & W 49 St,,,,,,false,,
174,E 25 St & 1 Ave,30,30,40.7381765,-73.97738662,In Service,1,0,E 25 St & 1 Ave,,,,,,false,,
195,Liberty St & Broadway,36,45,40.70905623,-74.01043382,In Service,1,6,Liberty St & Broadway,,,,,,false,,
212,W 16 St & The High Line,5,28,40.74334935,-74.00681753,In Service,1,23,W 16 St & The High Line,,,,,,false,,
216,Columbia Heights & Cranberry St,14,23,40.70037867,-73.99548059,In Service,1,9,Columbia Heights & Cranberry St,,,,,,false,,
217,Old Fulton St,3,39,40.70277159,-73.99383605,Not In Service,3,36,Old Fulton St,,,,,,false,,
218,Gallatin Pl & Livingston St,30,39,40.69028437,-73.98707105,In Service,1,9,Gallatin Pl & Livingston St,,,,,,false,,
223,W 13 St & 7 Ave,8,33,40.73781509,-73.99994661,Not In Service,3,13,W 13 St & 7 Ave,,,,,,false,,
224,Spruce St & Nassau St,30,31,40.71146364,-74.00552427,In Service,1,1,Spruce St & Nassau St,,,,,,false,,
225,W 14 St & The High Line,0,37,40.74195138,-74.00803013,In Service,1,35,W 14 St & The High Line,,,,,,false,,
228,E 48 St & 3 Ave,54,55,40.7546011,-73.97187886,In Service,1,1,E 48 St & 3 Ave,,,,,,false,,
229,Great Jones St,5,27,40.72743423,-73.99379025,In Service,1,20,Great Jones St,,,,,,false,,
232,Cadman Plaza E & Tillary St,19,23,40.69597683,-73.99014892,In Service,1,4,Cadman Plaza E & Tillary St,,,,,,false,,
233,Joralemon St & Adams St,30,39,40.69246277,-73.98963911,In Service,1,9,Joralemon St & Adams St,,,,,,false,,
236,St Marks Pl & 2 Ave,38,39,40.7284186,-73.98713956,In Service,1,0,St Marks Pl & 2 Ave,,,,,,false,,
237,E 11 St & 2 Ave,35,39,40.73047309,-73.98672378,In Service,1,3,E 11 St & 2 Ave,,,,,,false,,
238,Bank St & Washington St,22,31,40.7361967,-74.00859207,Not In Service,3,1,Bank St & Washington St,,,,,,false,,
239,Willoughby St & Fleet St,28,31,40.69196566,-73.9813018,Not In Service,3,1,Willoughby St & Fleet St,,,,,,false,,
241,DeKalb Ave & S Portland Ave,16,23,40.68981035,-73.97493121,In Service,1,7,DeKalb Ave & S Portland Ave,,,,,,false,,
242,Flushing Ave & Carlton Ave,7,23,40.69788349,-73.97350332,In Service,1,15,Flushing Ave & Carlton Ave,,,,,,false,,
243,Fulton St & Rockwell Pl,17,31,40.688226,-73.979382,In Service,1,13,Fulton St & Rockwell Pl,,,,,,false,,
244,Willoughby Ave & Hall St,30,31,40.69196035,-73.96536851,In Service,1,1,Willoughby Ave & Hall St,,,,,,false,,
245,Myrtle Ave & St Edwards St,19,23,40.69327018,-73.97703874,In Service,1,4,Myrtle Ave & St Edwards St,,,,,,false,,
247,Perry St & Bleecker St,11,20,40.73535398,-74.00483091,In Service,1,8,Perry St & Bleecker St,,,,,,false,,
248,Laight St & Hudson St,16,23,40.72185379,-74.00771779,In Service,1,6,Laight St & Hudson St,,,,,,false,,
249,Harrison St & Hudson St,21,27,40.71870987,-74.0090009,In Service,1,5,Harrison St & Hudson St,,,,,,false,,
250,Lafayette St & Jersey St,9,40,40.72456089,-73.99565293,In Service,1,28,Lafayette St & Jersey St,,,,,,false,,
251,Mott St & Prince St,0,0,40.72317958,-73.99480012,Not In Service,3,0,Mott St & Prince St,,,,,,false,,
252,MacDougal St & Washington Sq,14,33,40.73226398,-73.99852205,In Service,1,17,MacDougal St & Washington Sq,,,,,,false,,
254,W 11 St & 6 Ave,5,31,40.73532427,-73.99800419,In Service,1,26,W 11 St & 6 Ave,,,,,,false,,
257,Lispenard St & Broadway,32,39,40.71939226,-74.00247214,In Service,1,6,Lispenard St & Broadway,,,,,,false,,
258,DeKalb Ave & Vanderbilt Ave,22,23,40.68940747,-73.96885458,In Service,1,1,DeKalb Ave & Vanderbilt Ave,,,,,,false,,
259,South St & Whitehall St,34,39,40.70122128,-74.01234218,In Service,1,5,South St & Whitehall St,,,,,,false,,
260,Broad St & Bridge St,32,35,40.70365182,-74.01167797,In Service,1,2,Broad St & Bridge St,,,,,,false,,
261,Johnson St & Gold St,20,27,40.69474881,-73.98362464,In Service,1,7,Johnson St & Gold St,,,,,,false,,
262,Washington Park,23,24,40.6917823,-73.9737299,In Service,1,1,Washington Park,,,,,,false,,
263,Elizabeth St & Hester St,23,31,40.71729,-73.996375,In Service,1,7,Elizabeth St & Hester St,,,,,,false,,
264,Maiden Ln & Pearl St,26,27,40.70706456,-74.00731853,In Service,1,0,Maiden Ln & Pearl St,,,,,,false,,
265,Stanton St & Chrystie St,24,35,40.72229346,-73.99147535,In Service,1,10,Stanton St & Chrystie St,,,,,,false,,
266,Avenue D & E 8 St,14,24,40.72368361,-73.97574813,In Service,1,9,Avenue D & E 8 St,,,,,,false,,
267,Broadway & W 36 St,55,57,40.75097711,-73.98765428,In Service,1,2,Broadway & W 36 St,,,,,,false,,
268,Howard St & Centre St,16,27,40.71910537,-73.99973337,In Service,1,10,Howard St & Centre St,,,,,,false,,
270,Adelphi St & Myrtle Ave,20,23,40.69308257,-73.97178913,In Service,1,3,Adelphi St & Myrtle Ave,,,,,,false,,
271,Ashland Pl & Hanson Pl,10,31,40.68528172,-73.97805813,In Service,1,21,Ashland Pl & Hanson Pl,,,,,,false,,
274,Lafayette Ave & Fort Greene Pl,23,31,40.68691865,-73.976682,In Service,1,8,Lafayette Ave & Fort Greene Pl,,,,,,false,,
275,Washington Ave & Greene Ave,18,19,40.68650065,-73.96563307,In Service,1,1,Washington Ave & Greene Ave,,,,,,false,,
276,Duane St & Greenwich St,23,25,40.71748752,-74.0104554,In Service,1,2,Duane St & Greenwich St,,,,,,false,,
278,Concord St & Bridge St,19,19,40.69766564,-73.98476437,In Service,1,0,Concord St & Bridge St,,,,,,false,,
279,Peck Slip & Front St,26,36,40.707873,-74.00167,In Service,1,7,Peck Slip & Front St,,,,,,false,,
280,E 10 St & 5 Ave,24,31,40.73331967,-73.99510132,In Service,1,4,E 10 St & 5 Ave,,,,,,false,,
281,Grand Army Plaza & Central Park S,28,59,40.7643971,-73.97371465,In Service,1,30,Grand Army Plaza & Central Park S,,,,,,false,,
282,Kent Ave & S 11 St,14,27,40.70827295,-73.96834101,In Service,1,12,Kent Ave & S 11 St,,,,,,false,,
284,Greenwich Ave & 8 Ave,15,43,40.73901691,-74.00263761,In Service,1,24,Greenwich Ave & 8 Ave,,,,,,false,,
285,Broadway & E 14 St,35,47,40.73454567,-73.99074142,In Service,1,8,Broadway & E 14 St,,,,,,false,,
289,Monroe St & Classon Ave,10,19,40.6845683,-73.95881081,In Service,1,7,Monroe St & Classon Ave,,,,,,false,,
290,2 Ave & E 58 St,17,29,40.76020258,-73.96478473,In Service,1,9,2 Ave & E 58 St,,,,,,false,,
